FID,gridcode,ELEV,AREA_GEO
0,1,1566.25,6.901380184
1,2,1576.5,2.610522081
2,3,1586.75,2.600520076
3,4,1597,2.960592078
4,5,1607.25,2.720544043
5,6,1617.5,2.760552096
6,7,1627.75,2.530506087
7,8,1638,2.650530014
8,9,1648.25,2.54050807
9,10,1658.5,2.530506071
10,11,1668.75,2.570514098
11,12,1679,2.790557965
12,13,1689.25,2.540508034
13,14,1699.5,2.560512034
14,15,1709.75,2.570514049
15,16,1720,2.48049603
16,17,1730.25,2.440488038
17,18,1740.5,2.390478047
18,19,1750.75,3.220644082
19,20,1761,0.150029998
