FID,gridcode,AREA_GEO,ELEV
0,1,5.571109044,1736.1
1,2,13.82275118,1754.2
2,3,11.82235317,1772.3
3,4,10.46208243,1790.4
4,5,9.671925238,1808.5
5,6,9.491889403,1826.6
6,7,7.861564927,1844.7
7,8,8.091610756,1862.8
8,9,8.271646635,1880.9
9,10,9.59190961,1899
10,11,10.29204917,1917.1
11,12,10.79214912,1935.2
12,13,8.511694937,1953.3
13,14,7.531499781,1971.4
14,15,6.451284752,1989.5
15,16,5.241043737,2007.6
16,17,6.231241075,2025.7
17,18,5.271049769,2043.8
18,19,3.540705013,2061.9
19,20,1.380274582,2080
