Catchement,minimum,maximum
C001,1370,1667
C002,1378,1718
C003,1394,1784
c004,1395,1805
c005,1400,1674
c006,1410,1760
c007,1419,1810
c008,1433,1826
c009,1428,1778
c010,1423,1760
c011,1437,1827
c012,1451,1849
c013,1454,1890
c014,1504,1824
c015,1534,1952
c016,1540,1934
c017,1546,1781
c018,1556,1761
c019,1681,1996
c020,1561,2055
c021,1565,1807
c022,1631,2071
c023,1569,1838
c024,1571,1843
c025,1574,1855
c026,1580,1910
c027,1584,1985
c028,1586,1968
c029,1589,1895
c030,1594,1923
c031,1599,1977
c032,1604,2048
c033,1606,2008
c034,1607,2010
c035,1609,1952
c036,1611,2012
c037,1656,1963
c038,1613,1784
c039,1621,2011
c040,1622,1956
c041,1621,1946
c042,1631,2007
c043,1637,2002
c044,1687,2009
c045,1639,2047
c046,1643,1950
c047,1646,2044
c048,1655,1946
c049,1664,1995
c050,1661,2006
c051,1670,1786
c052,1639,1933
c053,1631,1959
c054,1624,1890
c055,1633,1874
c056,1647,1871
c057,1653,2076
c058,1675,2092
c059,1666,2134
c060,1673,2169
